titulo,valor,link
Apple iPhone 14 Pro Max (1 TB) – Roxo-profundo,"R$9.599,00",https://www.amazon.com.br/Apple-iPhone-Pro-Max-Roxo-profundo/dp/B0BDTRP76P/ref=sr_1_15?dib=eyJ2IjoiMSJ9.ufK5rEq-bkSnxYhM1akRW6rvFOx-8MVKEwD98cjDCMWWrrkL4h9Gwsld14dcg2BVUzrUcXePWkngt3v0h-bAwLsnmxcXfqcnKh4QBBz8XzquiBZkMtgRMvCSStX2DII4ZwaVEDzllkit-BM5_SFhQSINBp8d5UNLmHac4MMDSdihI-k6qdk2o2OR25yIihw98PK3MS7aJbnSzMonGBH0S90RhcK3evC4VF1OFDv9dec4BsZ5dJRaXNrRKq4GYsqVfz7g4eRHP2x2xlF3JWdnzP6UQCK8Qt0RsB61AB24j30.ZI0zRXxP_Wgjx-GZY9QzVAE5CYfaXPhWPbqFFotlWWE&dib_tag=se&keywords=iphone&qid=1744679903&sr=8-15&ufe=app_do%3Aamzn1.fos.25548f35-0de7-44b3-b28e-0f56f3f96147
Apple iPhone 11 (64 GB) Branco,"R$3.799,00",https://www.amazon.com.br/Iphone-Apple-Branco-64gb-Desbloqueado/dp/B08N1MG4VL/ref=sr_1_16?dib=eyJ2IjoiMSJ9.ufK5rEq-bkSnxYhM1akRW6rvFOx-8MVKEwD98cjDCMWWrrkL4h9Gwsld14dcg2BVUzrUcXePWkngt3v0h-bAwLsnmxcXfqcnKh4QBBz8XzquiBZkMtgRMvCSStX2DII4ZwaVEDzllkit-BM5_SFhQSINBp8d5UNLmHac4MMDSdihI-k6qdk2o2OR25yIihw98PK3MS7aJbnSzMonGBH0S90RhcK3evC4VF1OFDv9dec4BsZ5dJRaXNrRKq4GYsqVfz7g4eRHP2x2xlF3JWdnzP6UQCK8Qt0RsB61AB24j30.ZI0zRXxP_Wgjx-GZY9QzVAE5CYfaXPhWPbqFFotlWWE&dib_tag=se&keywords=iphone&qid=1744679903&sr=8-16&ufe=app_do%3Aamzn1.fos.95de73c3-5dda-43a7-bd1f-63af03b14751
Apple iPhone 14 Pro (512 GB) – Roxo-profundo,"R$7.749,00",https://www.amazon.com.br/Apple-iPhone-Pro-512-Roxo-profundo/dp/B0BDTSMG3Z/ref=sr_1_17?dib=eyJ2IjoiMSJ9.ufK5rEq-bkSnxYhM1akRW6rvFOx-8MVKEwD98cjDCMWWrrkL4h9Gwsld14dcg2BVUzrUcXePWkngt3v0h-bAwLsnmxcXfqcnKh4QBBz8XzquiBZkMtgRMvCSStX2DII4ZwaVEDzllkit-BM5_SFhQSINBp8d5UNLmHac4MMDSdihI-k6qdk2o2OR25yIihw98PK3MS7aJbnSzMonGBH0S90RhcK3evC4VF1OFDv9dec4BsZ5dJRaXNrRKq4GYsqVfz7g4eRHP2x2xlF3JWdnzP6UQCK8Qt0RsB61AB24j30.ZI0zRXxP_Wgjx-GZY9QzVAE5CYfaXPhWPbqFFotlWWE&dib_tag=se&keywords=iphone&qid=1744679903&sr=8-17&ufe=app_do%3Aamzn1.fos.25548f35-0de7-44b3-b28e-0f56f3f96147
Apple iPhone 15 Pro Max (256 GB) — Titânio branco,"R$13.253,58",https://www.amazon.com.br/Apple-iPhone-Pro-Max-256/dp/B0CHXRCNH2/ref=sr_1_18?dib=eyJ2IjoiMSJ9.ufK5rEq-bkSnxYhM1akRW6rvFOx-8MVKEwD98cjDCMWWrrkL4h9Gwsld14dcg2BVUzrUcXePWkngt3v0h-bAwLsnmxcXfqcnKh4QBBz8XzquiBZkMtgRMvCSStX2DII4ZwaVEDzllkit-BM5_SFhQSINBp8d5UNLmHac4MMDSdihI-k6qdk2o2OR25yIihw98PK3MS7aJbnSzMonGBH0S90RhcK3evC4VF1OFDv9dec4BsZ5dJRaXNrRKq4GYsqVfz7g4eRHP2x2xlF3JWdnzP6UQCK8Qt0RsB61AB24j30.ZI0zRXxP_Wgjx-GZY9QzVAE5CYfaXPhWPbqFFotlWWE&dib_tag=se&keywords=iphone&qid=1744679903&sr=8-18&ufe=app_do%3Aamzn1.fos.25548f35-0de7-44b3-b28e-0f56f3f96147
Apple iPhone 15 Pro (128 GB) — Titânio preto,"R$9.299,00",https://www.amazon.com.br/Apple-iPhone-15-Pro-128/dp/B0CHXRHSLC/ref=sr_1_19?dib=eyJ2IjoiMSJ9.ufK5rEq-bkSnxYhM1akRW6rvFOx-8MVKEwD98cjDCMWWrrkL4h9Gwsld14dcg2BVUzrUcXePWkngt3v0h-bAwLsnmxcXfqcnKh4QBBz8XzquiBZkMtgRMvCSStX2DII4ZwaVEDzllkit-BM5_SFhQSINBp8d5UNLmHac4MMDSdihI-k6qdk2o2OR25yIihw98PK3MS7aJbnSzMonGBH0S90RhcK3evC4VF1OFDv9dec4BsZ5dJRaXNrRKq4GYsqVfz7g4eRHP2x2xlF3JWdnzP6UQCK8Qt0RsB61AB24j30.ZI0zRXxP_Wgjx-GZY9QzVAE5CYfaXPhWPbqFFotlWWE&dib_tag=se&keywords=iphone&qid=1744679903&sr=8-19&ufe=app_do%3Aamzn1.fos.25548f35-0de7-44b3-b28e-0f56f3f96147
Apple iPhone 16 (512 GB) – Preto,"R$7.759,00",https://www.amazon.com.br/Apple-iPhone-16-512-GB/dp/B0DJFS7GXV/ref=sr_1_20?dib=eyJ2IjoiMSJ9.ufK5rEq-bkSnxYhM1akRW6rvFOx-8MVKEwD98cjDCMWWrrkL4h9Gwsld14dcg2BVUzrUcXePWkngt3v0h-bAwLsnmxcXfqcnKh4QBBz8XzquiBZkMtgRMvCSStX2DII4ZwaVEDzllkit-BM5_SFhQSINBp8d5UNLmHac4MMDSdihI-k6qdk2o2OR25yIihw98PK3MS7aJbnSzMonGBH0S90RhcK3evC4VF1OFDv9dec4BsZ5dJRaXNrRKq4GYsqVfz7g4eRHP2x2xlF3JWdnzP6UQCK8Qt0RsB61AB24j30.ZI0zRXxP_Wgjx-GZY9QzVAE5CYfaXPhWPbqFFotlWWE&dib_tag=se&keywords=iphone&qid=1744679903&sr=8-20&ufe=app_do%3Aamzn1.fos.a492fd4a-f54d-4e8d-8c31-35e0a04ce61e
Smartphone Xiaomi Redmi Note 14 Midnight Black (Preto) 8GB RAM 256GB ROM,"R$1.219,00",https://www.amazon.com.br/Smartphone-Xiaomi-Redmi-Midnight-Black/dp/B0DT5LHPMX/ref=sr_1_21_mod_primary_new?dib=eyJ2IjoiMSJ9.ufK5rEq-bkSnxYhM1akRW6rvFOx-8MVKEwD98cjDCMWWrrkL4h9Gwsld14dcg2BVUzrUcXePWkngt3v0h-bAwLsnmxcXfqcnKh4QBBz8XzquiBZkMtgRMvCSStX2DII4ZwaVEDzllkit-BM5_SFhQSINBp8d5UNLmHac4MMDSdihI-k6qdk2o2OR25yIihw98PK3MS7aJbnSzMonGBH0S90RhcK3evC4VF1OFDv9dec4BsZ5dJRaXNrRKq4GYsqVfz7g4eRHP2x2xlF3JWdnzP6UQCK8Qt0RsB61AB24j30.ZI0zRXxP_Wgjx-GZY9QzVAE5CYfaXPhWPbqFFotlWWE&dib_tag=se&keywords=iphone&qid=1744679903&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sr=8-21
Apple iPhone 16 (512 GB) – Branco,"R$8.879,04",https://www.amazon.com.br/Apple-iPhone-16-512-GB/dp/B0DJFRYV1B/ref=sr_1_22?dib=eyJ2IjoiMSJ9.ufK5rEq-bkSnxYhM1akRW6rvFOx-8MVKEwD98cjDCMWWrrkL4h9Gwsld14dcg2BVUzrUcXePWkngt3v0h-bAwLsnmxcXfqcnKh4QBBz8XzquiBZkMtgRMvCSStX2DII4ZwaVEDzllkit-BM5_SFhQSINBp8d5UNLmHac4MMDSdihI-k6qdk2o2OR25yIihw98PK3MS7aJbnSzMonGBH0S90RhcK3evC4VF1OFDv9dec4BsZ5dJRaXNrRKq4GYsqVfz7g4eRHP2x2xlF3JWdnzP6UQCK8Qt0RsB61AB24j30.ZI0zRXxP_Wgjx-GZY9QzVAE5CYfaXPhWPbqFFotlWWE&dib_tag=se&keywords=iphone&qid=1744679903&sr=8-22&ufe=app_do%3Aamzn1.fos.95de73c3-5dda-43a7-bd1f-63af03b14751
Apple iPhone 11 (64 GB) Branco,"R$3.799,00",https://www.amazon.com.br/Iphone-Apple-Branco-64gb-Desbloqueado/dp/B08LJ9B8TK/ref=sr_1_23?dib=eyJ2IjoiMSJ9.ufK5rEq-bkSnxYhM1akRW6rvFOx-8MVKEwD98cjDCMWWrrkL4h9Gwsld14dcg2BVUzrUcXePWkngt3v0h-bAwLsnmxcXfqcnKh4QBBz8XzquiBZkMtgRMvCSStX2DII4ZwaVEDzllkit-BM5_SFhQSINBp8d5UNLmHac4MMDSdihI-k6qdk2o2OR25yIihw98PK3MS7aJbnSzMonGBH0S90RhcK3evC4VF1OFDv9dec4BsZ5dJRaXNrRKq4GYsqVfz7g4eRHP2x2xlF3JWdnzP6UQCK8Qt0RsB61AB24j30.ZI0zRXxP_Wgjx-GZY9QzVAE5CYfaXPhWPbqFFotlWWE&dib_tag=se&keywords=iphone&qid=1744679903&sr=8-23&ufe=app_do%3Aamzn1.fos.25548f35-0de7-44b3-b28e-0f56f3f96147
"Smartphone Samsung Galaxy S24+, Galaxy AI, Selfie de 12MP, Tela de 6.7"" 1-120Hz, 256GB, 12GB RAM - Cinza","R$3.599,10",https://www.amazon.com.br/Smartphone-Samsung-Galaxy-Selfie-1-120Hz/dp/B0CQD99RZB/ref=sr_1_24?dib=eyJ2IjoiMSJ9.ufK5rEq-bkSnxYhM1akRW6rvFOx-8MVKEwD98cjDCMWWrrkL4h9Gwsld14dcg2BVUzrUcXePWkngt3v0h-bAwLsnmxcXfqcnKh4QBBz8XzquiBZkMtgRMvCSStX2DII4ZwaVEDzllkit-BM5_SFhQSINBp8d5UNLmHac4MMDSdihI-k6qdk2o2OR25yIihw98PK3MS7aJbnSzMonGBH0S90RhcK3evC4VF1OFDv9dec4BsZ5dJRaXNrRKq4GYsqVfz7g4eRHP2x2xlF3JWdnzP6UQCK8Qt0RsB61AB24j30.ZI0zRXxP_Wgjx-GZY9QzVAE5CYfaXPhWPbqFFotlWWE&dib_tag=se&keywords=iphone&qid=1744679903&sr=8-24&ufe=app_do%3Aamzn1.fos.95de73c3-5dda-43a7-bd1f-63af03b14751
