titulo;valor;link
Apple iPhone 16 Pro (128 GB) – Titânio-deserto;R$ 7.559,10;https://www.amazon.com.br/Apple-iPhone-Pro-128-Tit%C3%A2nio-deserto/dp/B0DGMCG8SN/ref=sr_1_12?dib=eyJ2IjoiMSJ9.Fj0WvW_3VwdkYgsC0RcTVJurPmX2aj1olnvq66mv0RUwjRWHd3WtXTUsUVzFqCHLUzrUcXePWkngt3v0h-bAwLsnmxcXfqcnKh4QBBz8XzquiBZkMtgRMvCSStX2DII4ZwaVEDzllkit-BM5_SFhQb9wHjYhN7etv9HaKwaRXZ8YQdQQhqVXgA_v39Q3KWZS8PK3MS7aJbnSzMonGBH0S90RhcK3evC4VF1OFDv9def1jGT0LPHK-tujeF5vFwgVwSmMgMQDdh4Imd8n61Cn6nqnAFGciqkiJtt0YtEK_3s.pHZgSGiTTdUVX6HOlsRxMLM5I4a_qlVKiDt-l4PRP70&dib_tag=se&keywords=iphone&qid=1744670454&sr=8-12&ufe=app_do%3Aamzn1.fos.95de73c3-5dda-43a7-bd1f-63af03b14751
Apple iPhone 16 Plus (128 GB) – Rosa;R$ 6.698,97;https://www.amazon.com.br/Apple-iPhone-16-Plus-128/dp/B0DGMBY82G/ref=sr_1_14?dib=eyJ2IjoiMSJ9.Fj0WvW_3VwdkYgsC0RcTVJurPmX2aj1olnvq66mv0RUwjRWHd3WtXTUsUVzFqCHLUzrUcXePWkngt3v0h-bAwLsnmxcXfqcnKh4QBBz8XzquiBZkMtgRMvCSStX2DII4ZwaVEDzllkit-BM5_SFhQb9wHjYhN7etv9HaKwaRXZ8YQdQQhqVXgA_v39Q3KWZS8PK3MS7aJbnSzMonGBH0S90RhcK3evC4VF1OFDv9def1jGT0LPHK-tujeF5vFwgVwSmMgMQDdh4Imd8n61Cn6nqnAFGciqkiJtt0YtEK_3s.pHZgSGiTTdUVX6HOlsRxMLM5I4a_qlVKiDt-l4PRP70&dib_tag=se&keywords=iphone&qid=1744670454&sr=8-14&ufe=app_do%3Aamzn1.fos.95de73c3-5dda-43a7-bd1f-63af03b14751
Apple iPhone 15 Plus (128 GB) — Preto;R$ 5.999,00;https://www.amazon.com.br/Apple-iPhone-15-Plus-128/dp/B0CHXDTJXX/ref=sr_1_13?dib=eyJ2IjoiMSJ9.Fj0WvW_3VwdkYgsC0RcTVJurPmX2aj1olnvq66mv0RUwjRWHd3WtXTUsUVzFqCHLUzrUcXePWkngt3v0h-bAwLsnmxcXfqcnKh4QBBz8XzquiBZkMtgRMvCSStX2DII4ZwaVEDzllkit-BM5_SFhQb9wHjYhN7etv9HaKwaRXZ8YQdQQhqVXgA_v39Q3KWZS8PK3MS7aJbnSzMonGBH0S90RhcK3evC4VF1OFDv9def1jGT0LPHK-tujeF5vFwgVwSmMgMQDdh4Imd8n61Cn6nqnAFGciqkiJtt0YtEK_3s.pHZgSGiTTdUVX6HOlsRxMLM5I4a_qlVKiDt-l4PRP70&dib_tag=se&keywords=iphone&qid=1744670454&sr=8-13&ufe=app_do%3Aamzn1.fos.25548f35-0de7-44b3-b28e-0f56f3f96147
Apple iPhone 15 (256 GB) — Azul;R$ 5.899,00;https://www.amazon.com.br/Apple-iPhone-15-256-GB/dp/B0CP6BZHK3/ref=sr_1_8?dib=eyJ2IjoiMSJ9.Fj0WvW_3VwdkYgsC0RcTVJurPmX2aj1olnvq66mv0RUwjRWHd3WtXTUsUVzFqCHLUzrUcXePWkngt3v0h-bAwLsnmxcXfqcnKh4QBBz8XzquiBZkMtgRMvCSStX2DII4ZwaVEDzllkit-BM5_SFhQb9wHjYhN7etv9HaKwaRXZ8YQdQQhqVXgA_v39Q3KWZS8PK3MS7aJbnSzMonGBH0S90RhcK3evC4VF1OFDv9def1jGT0LPHK-tujeF5vFwgVwSmMgMQDdh4Imd8n61Cn6nqnAFGciqkiJtt0YtEK_3s.pHZgSGiTTdUVX6HOlsRxMLM5I4a_qlVKiDt-l4PRP70&dib_tag=se&keywords=iphone&qid=1744670454&sr=8-8&ufe=app_do%3Aamzn1.fos.a492fd4a-f54d-4e8d-8c31-35e0a04ce61e
"Smartphone Samsung Galaxy S24 Ultra, Galaxy AI, Selfie de 12MP, Tela de 6.8"" 1-120Hz, 256GB, 12GB RAM - Titânio Cinza";R$ 5.823,90;https://www.amazon.com.br/Smartphone-Samsung-Galaxy-Selfie-1-120Hz/dp/B0CQD912YR/ref=sr_1_27?dib=eyJ2IjoiMSJ9.Fj0WvW_3VwdkYgsC0RcTVJurPmX2aj1olnvq66mv0RUwjRWHd3WtXTUsUVzFqCHLUzrUcXePWkngt3v0h-bAwLsnmxcXfqcnKh4QBBz8XzquiBZkMtgRMvCSStX2DII4ZwaVEDzllkit-BM5_SFhQb9wHjYhN7etv9HaKwaRXZ8YQdQQhqVXgA_v39Q3KWZS8PK3MS7aJbnSzMonGBH0S90RhcK3evC4VF1OFDv9def1jGT0LPHK-tujeF5vFwgVwSmMgMQDdh4Imd8n61Cn6nqnAFGciqkiJtt0YtEK_3s.pHZgSGiTTdUVX6HOlsRxMLM5I4a_qlVKiDt-l4PRP70&dib_tag=se&keywords=iphone&qid=1744670454&sr=8-27&ufe=app_do%3Aamzn1.fos.95de73c3-5dda-43a7-bd1f-63af03b14751
Apple iPhone 16 (128 GB) – Branco;R$ 5.298,03;https://www.amazon.com.br/Apple-iPhone-16-128-GB/dp/B0DJFTCKNN/ref=sr_1_9?dib=eyJ2IjoiMSJ9.Fj0WvW_3VwdkYgsC0RcTVJurPmX2aj1olnvq66mv0RUwjRWHd3WtXTUsUVzFqCHLUzrUcXePWkngt3v0h-bAwLsnmxcXfqcnKh4QBBz8XzquiBZkMtgRMvCSStX2DII4ZwaVEDzllkit-BM5_SFhQb9wHjYhN7etv9HaKwaRXZ8YQdQQhqVXgA_v39Q3KWZS8PK3MS7aJbnSzMonGBH0S90RhcK3evC4VF1OFDv9def1jGT0LPHK-tujeF5vFwgVwSmMgMQDdh4Imd8n61Cn6nqnAFGciqkiJtt0YtEK_3s.pHZgSGiTTdUVX6HOlsRxMLM5I4a_qlVKiDt-l4PRP70&dib_tag=se&keywords=iphone&qid=1744670454&sr=8-9&ufe=app_do%3Aamzn1.fos.95de73c3-5dda-43a7-bd1f-63af03b14751
Apple iPhone 16e de 128 GB — Preto;R$ 3.998,99;https://www.amazon.com.br/Apple-iPhone-16e-128-GB/dp/B0DXR7GNWJ/ref=sr_1_6?dib=eyJ2IjoiMSJ9.Fj0WvW_3VwdkYgsC0RcTVJurPmX2aj1olnvq66mv0RUwjRWHd3WtXTUsUVzFqCHLUzrUcXePWkngt3v0h-bAwLsnmxcXfqcnKh4QBBz8XzquiBZkMtgRMvCSStX2DII4ZwaVEDzllkit-BM5_SFhQb9wHjYhN7etv9HaKwaRXZ8YQdQQhqVXgA_v39Q3KWZS8PK3MS7aJbnSzMonGBH0S90RhcK3evC4VF1OFDv9def1jGT0LPHK-tujeF5vFwgVwSmMgMQDdh4Imd8n61Cn6nqnAFGciqkiJtt0YtEK_3s.pHZgSGiTTdUVX6HOlsRxMLM5I4a_qlVKiDt-l4PRP70&dib_tag=se&keywords=iphone&qid=1744670454&sr=8-6&ufe=app_do%3Aamzn1.fos.95de73c3-5dda-43a7-bd1f-63af03b14751
Apple iPhone 14 (128 GB) – Estelar;R$ 3.997,98;https://www.amazon.com.br/Apple-iPhone-14-128-GB/dp/B00CLP06OW/ref=sr_1_10?dib=eyJ2IjoiMSJ9.Fj0WvW_3VwdkYgsC0RcTVJurPmX2aj1olnvq66mv0RUwjRWHd3WtXTUsUVzFqCHLUzrUcXePWkngt3v0h-bAwLsnmxcXfqcnKh4QBBz8XzquiBZkMtgRMvCSStX2DII4ZwaVEDzllkit-BM5_SFhQb9wHjYhN7etv9HaKwaRXZ8YQdQQhqVXgA_v39Q3KWZS8PK3MS7aJbnSzMonGBH0S90RhcK3evC4VF1OFDv9def1jGT0LPHK-tujeF5vFwgVwSmMgMQDdh4Imd8n61Cn6nqnAFGciqkiJtt0YtEK_3s.pHZgSGiTTdUVX6HOlsRxMLM5I4a_qlVKiDt-l4PRP70&dib_tag=se&keywords=iphone&qid=1744670454&sr=8-10&ufe=app_do%3Aamzn1.fos.95de73c3-5dda-43a7-bd1f-63af03b14751
Apple iPhone 11 (64 GB) Branco;R$ 3.799,00;https://www.amazon.com.br/Iphone-Apple-Branco-64gb-Desbloqueado/dp/B08N1MG4VL/ref=sr_1_15?dib=eyJ2IjoiMSJ9.Fj0WvW_3VwdkYgsC0RcTVJurPmX2aj1olnvq66mv0RUwjRWHd3WtXTUsUVzFqCHLUzrUcXePWkngt3v0h-bAwLsnmxcXfqcnKh4QBBz8XzquiBZkMtgRMvCSStX2DII4ZwaVEDzllkit-BM5_SFhQb9wHjYhN7etv9HaKwaRXZ8YQdQQhqVXgA_v39Q3KWZS8PK3MS7aJbnSzMonGBH0S90RhcK3evC4VF1OFDv9def1jGT0LPHK-tujeF5vFwgVwSmMgMQDdh4Imd8n61Cn6nqnAFGciqkiJtt0YtEK_3s.pHZgSGiTTdUVX6HOlsRxMLM5I4a_qlVKiDt-l4PRP70&dib_tag=se&keywords=iphone&qid=1744670454&sr=8-15&ufe=app_do%3Aamzn1.fos.95de73c3-5dda-43a7-bd1f-63af03b14751
Apple iPhone 11 (64 GB) Branco;R$ 3.799,00;https://www.amazon.com.br/Iphone-Apple-Branco-64gb-Desbloqueado/dp/B08LJ9B8TK/ref=sr_1_22?dib=eyJ2IjoiMSJ9.Fj0WvW_3VwdkYgsC0RcTVJurPmX2aj1olnvq66mv0RUwjRWHd3WtXTUsUVzFqCHLUzrUcXePWkngt3v0h-bAwLsnmxcXfqcnKh4QBBz8XzquiBZkMtgRMvCSStX2DII4ZwaVEDzllkit-BM5_SFhQb9wHjYhN7etv9HaKwaRXZ8YQdQQhqVXgA_v39Q3KWZS8PK3MS7aJbnSzMonGBH0S90RhcK3evC4VF1OFDv9def1jGT0LPHK-tujeF5vFwgVwSmMgMQDdh4Imd8n61Cn6nqnAFGciqkiJtt0YtEK_3s.pHZgSGiTTdUVX6HOlsRxMLM5I4a_qlVKiDt-l4PRP70&dib_tag=se&keywords=iphone&qid=1744670454&sr=8-22&ufe=app_do%3Aamzn1.fos.25548f35-0de7-44b3-b28e-0f56f3f96147
